English	Serbian
Calais	Кале
Calcium	Калцијум
Calcium carbonate	Калцијум карбонат
Calculator	Калкулатор
Calculus	Калкулус
Caldera	Калдера
Calendar	Календар
California	Калифорнија
California	Категорија:Калифорнија
Californium	Калифорнијум
Caligula	Калигула
Caliph	Калиф
Calligraphy	Kaligrafija
Calliope	Калиопа
Callisto (moon)	Калисто
Callisto (mythology)	Калиста
Calorie	Калорија
Calvados	Калвадос
Calvary	Голгота
Calvin Coolidge	Калвин Кулиџ
Calvinism	Калвинизам
Calypso (mythology)	Калипсо
Cambodia	Камбоџа
Cambodia	Категорија:Камбоџа
Cambridge	Кембриџ
Cambridge (disambiguation)	Кембриџ (вишезначна одредница)
Camel	Камила
Cameroon	Камерун
Cameroon	Категорија:Камерун
Campania	Кампанија
Canada	Канада
Canada	Категорија:Канада
Canadian dollar	Канадски долар
Canary Islands	Канарска острва
Canberra	Канбера
Cancer	Рак (болест)
Candela	Кандела
Candle	Свећа
Cannabis	Конопља
Cannabis (drug)	Уживалачка употреба конопље
Cannes	Кан (Азурна обала)
Cannibalism	Канибализам
Canon (company)	Кенон
Canute the Great	Кнут Велики
Capacitance	Капацитивност
Capacitor	Кондензатор
Cape Town	Кејптаун
Cape Verde	Зеленортска Острва
Cape Verde	Категорија:Зеленортска острва
Cape of Good Hope	Рт добре наде
Capital	Главни град
Capital punishment	Смртна казна
Capitalism	Капитализам
Cappadocia	Кападокија
Caracal	Каракал
Caracas	Каракас
Carbohydrate	Угљени хидрати
Carbon	Угљеник
Carbon dioxide	Угљен-диоксид
Carboniferous	Карбон (период)
Carboxylic acid	Карбоксилна киселина
Cardiff	Кардиф
Cardinal (Catholicism)	Кардинал
Cardinal Richelieu	Арман Жан ди Плеси де Ришеље
Cardiology	Кардиологија
Cardiology	Категорија:Кардиологија
Caribbean	Кариби
Caribbean	Категорија:Кариби
Caricature	Карикатура
Carl David Anderson	Карл Дејвид Андерсон
Carl Jung	Карл Густав Јунг
Carl Lewis	Карл Луис
Carl Maria von Weber	Карл Марија фон Вебер
Carl Orff	Карл Орф
Carnivora	Звери
Carnivore	Месождери
Carnivorous plant	Биљке месождерке
Carolingian dynasty	Каролинзи
Carolus Linnaeus	Карл фон Лине
Carpathian Mountains	Карпати
Carrot	Шаргарепа
Cartagena	Картахена
Cartesian coordinate system	Декартов координатни систем
Carthage	Картагина
Cartography	Картографија
Cartography	Категорија:Картографија
Cary Grant	Кери Грант
Casablanca	Казабланка
Caspian Sea	Каспијско језеро
Cassandra	Касандра (митологија)
Cast iron	Ливено гвожђе
Caste	Каста
Castile (historical region)	Кастиља
Castle	Замак
Castling	Рокада (шах)
Castries	Кастри
Cat	Мачка
Catalonia	Каталонија
Catalonia	Категорија:Каталонија
