Greek	English
Κατηγορία:Τόγκο	Togo
Τόκιο	Tokyo
Τολέδο	Toledo
Τομάτα	Tomato
Τόνος (μονάδα μέτρησης)	Ton
Τόνγκα	Tonga
Κατηγορία:Τόνγκα	Tonga
Γλώσσα (ανατομία)	Tongue
Τόνι Μόρρισον	Toni Morrison
Τόνος (μονάδα μέτρησης)	Tonne
Τόνι Μπλερ	Tony Blair
Εργαλείο	Tool
Δόντι	Tooth
Τοπολογία	Topology
Τορά	Torah
Σίφωνας	Tornado
Τορόντο	Toronto
Τορπίλη	Torpedo
Τουλόν	Toulon
Τουλούζη	Toulouse
Γύρος της Γαλλίας	Tour de France
Τουρισμός	Tourism
Πύργος της Βαβέλ	Tower of Babel
Πόλη	Town
Τοξικολογία	Toxicology
Τρακτέρ	Tractor
Τραγωδία	Tragedy
Τραίνο	Train
Τραϊανός	Trajan
Τρανζίστορ	Transistor
Transmission Control Protocol	Transmission Control Protocol
Κατηγορία:Μεταφορές	Transportation
Τραπέζιο	Trapezoid
Συνθήκη των Βερσαλλιών	Treaty of Versailles
Τρίγωνο	Triangle
Τρίγωνον	Triangulum
Τρίγωνον Νότιον	Triangulum Australe
Τριέρη	Trier
Τριγωνομετρική συνάρτηση	Trigonometric function
Τριγωνομετρία	Trigonometry
Τριλοβίτης	Trilobite
Τρινιντάντ (νησί)	Trinidad
Τρινιντάντ και Τομπάγκο	Trinidad and Tobago
Κατηγορία:Τρινιντάντ και Τομπάγκο	Trinidad and Tobago
Αγία Τριάδα	Trinity
Τρίτων (μυθολογία)	Triton (mythology)
Αψίδα θριάμβου	Triumphal arch
Δούρειος Ίππος	Trojan Horse
Τρωικός πόλεμος	Trojan War
Δούρειος Ίππος (υπολογιστές)	Trojan horse (computing)
Τρόλεϊ	Trolleybus
Τρόντχαϊμ	Trondheim
Τροπικός του Αιγόκερω	Tropic of Capricorn
Τροπόσφαιρα	Troposphere
Τροτσκισμός	Trotskyism
Τροία	Troy
Τρομπέτα	Trumpet
Τσάρος	Tsar
Τουαρέγκ	Tuareg
Τούμπα	Tuba
Φυματίωση	Tuberculosis
Τουκάνα	Tucana
Τρίτη	Tuesday
Τουλίπα	Tulip
Τούνδρα	Tundra
Βολφράμιο	Tungsten
Τύνιδα	Tunis
Τυνησία	Tunisia
Κατηγορία:Τυνησία	Tunisia
Αεριοστρόβιλος	Turbine
Τορίνο	Turin
Μηχανή Τούρινγκ	Turing machine
Τουρκία	Turkey
Κατηγορία:Τουρκία	Turkey
Τουρκμενιστάν	Turkmenistan
Κατηγορία:Τουρκμενιστάν	Turkmenistan
Τοσκάνη	Tuscany
Τουβαλού	Tuvalu
Κατηγορία:Τουβαλού	Tuvalu
Τυχό Μπραχέ	Tycho Brahe
Γραφομηχανή	Typewriter
Τυφών (μυθολογία)	Typhon
Τυραννόσαυρος Ρεξ	Tyrannosaurus
Τύρος	Tyre
Τυρρηνικό πέλαγος	Tyrrhenian Sea
U	U
ΟΥΝΕΣΚΟ	UNESCO
Ουγκάντα	Uganda
Κατηγορία:Ουγκάντα	Uganda
Ουκρανία	Ukraine
Κατηγορία:Ουκρανία	Ukraine
Ουλάν Μπατόρ	Ulan Bator
Οδυσσεύς Γκραντ	Ulysses S. Grant
Ομπρέλα	Umbrella
Αρχή της απροσδιοριστίας	Uncertainty principle
Ανεργία	Unemployment
Μονόκερως	Unicorn
ΑΤΙΑ	Unidentified flying object
Uniform Resource Locator	Uniform Resource Locator
Ένωση συνόλων	Union (set theory)
Ηνωμένα Αραβικά Εμιράτα	United Arab Emirates
Κατηγορία:Ηνωμένα Αραβικά Εμιράτα	United Arab Emirates
Ηνωμένο Βασίλειο	United Kingdom
Κατηγορία:Ηνωμένο Βασίλειο	United Kingdom
Οργανισμός Ηνωμένων Εθνών	United Nations
Κατηγορία:Οργανισμός Ηνωμένων Εθνών	United Nations
Ηνωμένες Πολιτείες της Αμερικής	United States
Κατηγορία:Ηνωμένες Πολιτείες	United States
Αμερικανικές Παρθένοι Νήσοι	United States Virgin Islands
Δολάριο ΗΠΑ	United States dollar
Σύμπαν	Universe
Πανεπιστήμιο	University
Unix	Unix
Ununbium	Ununbium
Ununpentium	Ununpentium
Ununtrium	Ununtrium
Ουψάλα	Uppsala
Ύψιλον	Upsilon
Ουρ	Ur
Ουράλια Όρη	Ural Mountains
Ουρανία	Urania
Ουράνιο	Uranium
Ουρανός (πλανήτης)	Uranus
Ουρανός (μυθολογία)	Uranus (mythology)
Μεγάλη Άρκτος	Ursa Major
Μικρά Άρκτος	Ursa Minor
Ουρουγουάη	Uruguay
Κατηγορία:Ουρουγουάη	Uruguay
Γιούτα	Utah
Ωφελιμισμός	Utilitarianism
Ουτοπία	Utopia
Ουτρέχτη (πόλη)	Utrecht (city)
Ουτρέχτη (επαρχία)	Utrecht (province)
Ουζμπεκιστάν	Uzbekistan
Κατηγορία:Ουζμπεκιστάν	Uzbekistan
V	V
Κενό	Vacuum
Βαντούζ	Vaduz
Κόλπος (ανατομία)	Vagina
Βαλένθια	Valencia
Βαλένθια (αποσαφήνιση)	Valencia
Βαλχάλλα	Valhalla
Βαλκυρίες	Valkyrie
Βαλέτα	Valletta
Βανάδιο	Vanadium
Βανκούβερ	Vancouver
Βανδαλισμός	Vandalism
Βανίρ	Vanir
Βανουάτου	Vanuatu
Κατηγορία:Βανουάτου	Vanuatu
Διακύμανση	Variance
Βάρνα (Βουλγαρία)	Varna
Βατικανό	Vatican City
Κατηγορία:Βατικανό	Vatican City
Διάνυσμα	Vector (spatial)
Βέγας	Vega
Χορτοφαγία	Vegetarianism
Φλέβα	Vein
Ιστία	Vela (constellation)
Βενεζουέλα	Venezuela
Κατηγορία:Βενεζουέλα	Venezuela
Βενετία	Venice
Αφροδίτη (πλανήτης)	Venus
Βένους	Venus (mythology)
Σπονδυλωτό	Vertebrate
Βέστα	Vesta (mythology)
Βίκτωρ Ουγκώ	Victor Hugo
Βικτωρία Βρετανικής Κολομβίας	Victoria
Βικτωρία (αποσαφήνιση)	Victoria
Ηλεκτρονικό παιχνίδι	Video game
Βιέννη	Vienna
Κατηγορία:Βιέννη	Vienna
Βιετνάμ	Vietnam
Κατηγορία:Βιετνάμ	Vietnam
Πόλεμος του Βιετνάμ	Vietnam War
Βίκινγκ	Viking
Βίλνιους	Vilnius
Βίνσεντ βαν Γκογκ	Vincent van Gogh
Βιόλα	Viola
Βία	Violence
Βιολί	Violin
Βιργίλιος	Virgil
Παρθένοι Νήσοι	Virgin Islands
Βιρτζίνια Γουλφ	Virginia Woolf
Παρθένος (αστερισμός)	Virgo (constellation)
Εικονική Πραγματικότητα	Virtual reality
Αρετή (φιλοσοφία)	Virtue
Ιός	Virus
Ιξώδες	Viscosity
Βιστούλας	Vistula
Βιταμίνη	Vitamin
Βιττόριο ντε Σίκα	Vittorio De Sica
Βίβιαν Λι	Vivien Leigh
Βλαντιμίρ Λένιν	Vladimir Lenin
Βλαντιμίρ Ναμπούκοφ	Vladimir Nabokov
Βλαντιμίρ Πούτιν	Vladimir Putin
Βλαδιβοστόκ	Vladivostok
Κλητική	Vocative case
Βότκα	Vodka
Ιχθύς Ιπτάμενος	Volans
Ηφαίστειο	Volcano
Ηφαιστειολογία	Volcanology
Βόλγας	Volga River
Βόλγογκραντ	Volgograd
Κατηγορία:Πετοσφαίριση	Volleyball
Βολτ	Volt
Διαφορά δυναμικού	Voltage
Βολταίρος	Voltaire
Όγκος	Volume
Φωνήεν	Vowel
Βούλκαν	Vulcan (mythology)
Λαϊκή Λατινική γλώσσα	Vulgar Latin
Βουλγάτα	Vulgate
Αλώπηξ (αστερισμός)	Vulpecula
Αιδοίο	Vulva
W	W
Νήσος Ουέηκ	Wake Island
Ουαλία	Wales
Κατηγορία:Ουαλία	Wales
Καρυδιά (φυτό)	Walnut
Ουώλτ Ντίσνεϋ	Walt Disney
Ουώλτ Ουίτμαν	Walt Whitman
Βάλτερ Γκρόπιους	Walter Gropius
Γουόλτερ Σκοτ	Walter Scott
Πόλεμος	War
Κατηγορία:Πόλεμος	War
Έγκλημα πολέμου	War crime
Πόλεμος της Ισπανικής Διαδοχής	War of the Spanish Succession
Βαρσοβία	Warsaw
Πλυντήριο ρούχων	Washing machine
Ουάσινγκτον (Περιφέρεια της Κολούμπια)	Washington
Ουάσινγκτον (πολιτεία)	Washington
Ουάσινγκτον (αποσαφήνιση)	Washington (disambiguation)
Βασίλι Καντίνσκι	Wassily Kandinsky
Απορρίμματα	Waste
Νερό	Water
Υδατοσφαίριση	Water polo
Καταρράκτης	Waterfall
Καρπούζι	Watermelon
Βατ (μονάδα μέτρησης)	Watt
Κιλοβατώρα	Watt-hour
Κύμα	Wave
Μήκος κύματος	Wavelength
Ασθενής αλληλεπίδραση	Weak interaction
Όπλο	Weapon
Καιρός	Weather
Web browser	Web browser
Ιστοσελίδα	Web page
Ιστότοπος	Website
Τετάρτη	Wednesday
Εβδομάδα	Week
Άρση βαρών	Weightlifting
Βαϊμάρη	Weimar
Δημοκρατία της Βαϊμάρης	Weimar Republic
Ουέλλινγκτον	Wellington
Βέρνερ φον Μπράουν	Wernher von Braun
Δυτική Όχθη	West Bank
Δυτική Αυστραλία	Western Australia
Δυτική Σαχάρα	Western Sahara
Κατηγορία:Δυτική Σαχάρα	Western Sahara
Ουίσκι	Whisky
Λευκός Οίκος	White House
Λευκός νάνος	White dwarf
Γουάιτχορς	Whitehorse
Δίκτυο ευρείας περιοχής	Wide area network
Βισμπάντεν	Wiesbaden
Ουίλλιαμ Μπλέηκ	William Blake
Ουίλιαμ Γκόλντινγκ	William Golding
Ουίλιαμ Χέρσελ	William Herschel
Γουΐλιαμ Τζέιμς	William James
Ουίλλιαμ ΜακΚίνλεϋ	William McKinley
Ουίλλιαμ Σαίξπηρ	William Shakespeare
Ιτιά	Willow
Βίλλυ Μπραντ	Willy Brandt
Αιολική ενέργεια	Wind power
Ανεμόμυλος	Windmill
Παράθυρο	Window
Κρασί	Wine
Κατηγορία:Κρασί	Wine
Γουίνιπεγκ	Winnipeg
Ουίνστων Τσώρτσιλ	Winston Churchill
Χειμώνας	Winter
Χειμερινοί Ολυμπιακοί Αγώνες	Winter Olympic Games
Κατηγορία:Χειμερινοί Ολυμπιακοί Αγώνες	Winter Olympic Games
Βόλφγκανγκ Αμαντέους Μότσαρτ	Wolfgang Amadeus Mozart
Γυναίκα	Woman
Ξύλο	Wood
Γούντροου Ουίλσον	Woodrow Wilson
Ξύλινα πνευστά της συμφωνικής ορχήστρας	Woodwind instrument
Γούντι Άλεν	Woody Allen
Επεξεργαστής εγγράφου	Word processor
Παγκόσμιος Μετεωρολογικός Οργανισμός	World Meteorological Organization
Παγκόσμιο Κέντρο Εμπορίου	World Trade Center
Παγκόσμιος Οργανισμός Εμπορίου	World Trade Organization
Α΄ Παγκόσμιος Πόλεμος	World War I
Κατηγορία:Α' Παγκόσμιος Πόλεμος	World War I
Β΄ Παγκόσμιος Πόλεμος	World War II
Κατηγορία:Β' Παγκόσμιος Πόλεμος	World War II
Παγκόσμιος Ιστός	World Wide Web
Παγκόσμιος Πόλεμος	World war
Σκουλήκι	Worm
Συστήματα γραφής	Writing system
X	X
Ακτίνες Χ	X-ray
Ξένο	Xenon
Ξενοφάνης	Xenophanes
Ξενοφών	Xenophon
Ξι	Xi
Y	Y
Τετραγράμματο	Yahweh
Πανεπιστήμιο Γέιλ	Yale University
Γιάλτα	Yalta
Γιάσερ Αραφάτ	Yasser Arafat
Έτος	Year
Κατηγορία:Έτη	Years
Κίτρινο	Yellow
Κίτρινη Θάλασσα	Yellow Sea
Υεμένη	Yemen
Κατηγορία:Υεμένη	Yemen
Γιερεβάν	Yerevan
Υγκντράσιλ	Yggdrasil
Γιόγκα	Yoga
Εθνικό πάρκο Γιοσέμιτι	Yosemite National Park
Υττέρβιο	Ytterbium
Ύτριο	Yttrium
Γιουγκοσλαβία	Yugoslavia
Κατηγορία:Γιουγκοσλαβία	Yugoslavia
Γιούκον	Yukon
Γιούρι Γκαγκάριν	Yuri Gagarin
Z	Z
Ζάγκρεμπ	Zagreb
Ζάμπια	Zambia
Κατηγορία:Ζάμπια	Zambia
Ζανζιβάρη	Zanzibar
Σαραγόσα	Zaragoza
Ζέβρα	Zebra
Ζενίθ	Zenith
Ζήνων (αυτοκράτορας)	Zeno (emperor)
Ζήνων ο Κιτιεύς	Zeno of Citium
Ζήνων ο Ελεάτης	Zeno of Elea
Ζήτα	Zeta
Δίας (μυθολογία)	Zeus
Δίας	Zeus (disambiguation)
Ζιμπάμπουε	Zimbabwe
Κατηγορία:Ζιμπάμπουε	Zimbabwe
Ψευδάργυρος	Zinc
Σιωνισμός	Zionism
Ζιρκόνιο	Zirconium
Ζωολογία	Zoology
Κατηγορία:Ζωολογία	Zoology
Ζωροάστρης	Zoroaster
Ζουλού	Zulu
