English	Danish
Black hole	Sort hul
Black pepper	Sort Peber
Blackbird	Solsort
Blaise Pascal	Blaise Pascal
Blender (software)	Blender (computerprogram)
Blindness	Blindhed
Blitzkrieg	Blitzkriegdoktrinen
Bloemfontein	Bloemfontein
Blog	Blog
Blood	Blod
Blood plasma	Blodplasma
Blood pressure	Blodtryk
Blood type	Blodtype
Blood vessel	Blodåre
Blue	Blå
Blue Whale	Blåhval
Blues	Blues
Boar	Vildsvin
Board game	Brætspil
Boat	Båd
Bob Dylan	Bob Dylan
Bob Marley	Bob Marley
Bobby Fischer	Bobby Fischer
Bobsleigh	Bobslæde (sportsgren)
Bodhisattva	Bodhisattva
Body mass index	Body Mass Index
Bodybuilding	Bodybuilding
Bohemia	Bøhmen
Bohrium	Bohrium
Boiling point	Kogepunkt
Boise	Boise
Boletus edulis	Karl Johan (svamp)
Bolivia	Bolivia
Bolivia	Kategori:Bolivia
Bollywood	Bollywood
Bologna	Bologna
Bolshevik	Bolsjevik
Bolzano	Bolzano
Bomb	Bombe
Bomber	Bombefly
Bond (finance)	Obligation
Bone	Knogle (anatomi)
Bone marrow	Knoglemarv
Bonn	Bonn
Bonsai	Bonsai
Book	Bog
Book of Esther	Esters Bog
Book of Joshua	Josvabogen
Book of Judges	Dommerbogen
Book of Mormon	Mormons Bog
Book of Numbers	Fjerde Mosebog
Book of Revelation	Johannes' Åbenbaring
Book of Ruth	Ruths bog
Boomerang	Boomerang
Bordeaux	Bordeaux (by)
Boris Pasternak	Boris Pasternak
Boris Spassky	Boris Spasskij
Borneo	Borneo
Boron	Bor (grundstof)
Bosnia and Herzegovina	Bosnien-Hercegovina
Bosnia and Herzegovina	Kategori:Bosnien-Hercegovina
Bosporus	Bosporus
Boston	Boston
Boston Tea Party	Teselskabet i Boston
Bot	Skabelon:Bot
Botanical garden	Botanisk have
Botany	Botanik
Botany	Kategori:Botanik
Botswana	Botswana
Botswana	Kategori:Botswana
Bottle	Flaske
