English	Welsh
Disambiguation	Categori:Gwahaniaethu
Disease	Clefyd
Division (mathematics)	Rhannu (mathemateg)
Djibouti	Categori:Djibouti
Dmitri Mendeleev	Dmitri Mendeleev
Dmitri Shostakovich	Dmitri Shostakovich
Dodecahedron	Dodecahedron
Dodecanese	Dodecanese
Dog	Ci
Dolly (sheep)	Doli'r Ddafad
Dolphin	Dolffin
Dome	Cromen
Domesday Book	Llyfr Dydd y Farn
Dominica	Categori:Dominica
Dominican Republic	Gweriniaeth Dominica
Dominican Republic	Categori:Gweriniaeth Dominica
Domitian	Domitian
Don Quixote	Don Quixote
Don River (Russia)	Afon Don (Rwsia)
Donatello	Donatello
Douala	Douala
Draco (constellation)	Draco (cytser)
Dragon	Draig
Dresden	Dresden
Drink	Diod
Druid	Derwydd
Drum	Drwm
Dublin	Dulyn
Duck	Hwyaden
Dushanbe	Dushanbe
Dustin Hoffman	Dustin Hoffman
Dutch people	Categori:Iseldirwyr
Dwight D. Eisenhower	Dwight D. Eisenhower
Dyslexia	Dyslecsia
E	E
E-mail	E-bost
Eagle	Eryr
Ear	Clust
Earth	Y Ddaear
Earth	Categori:Y Ddaear
Earth science	Gwyddorau daear
Earthquake	Daeargryn
East Africa	Dwyrain Affrica
East Germany	Gweriniaeth Ddemocrataidd yr Almaen
East Sussex	Dwyrain Sussex
East Timor	Dwyrain Timor
Eastern Orthodox Church	Eglwys Uniongred Ddwyreiniol
Ebro	Afon Ebro
Echinoderm	Echinoderm
Ecology	Ecoleg
Ecology	Categori:Ecoleg
Economics	Economeg
Economics	Categori:Economeg
Economy	Economeg
Ecosystem	Ecosystem
Ecuador	Ecuador
Ecuador	Categori:Ecuador
Edgar Allan Poe	Edgar Allan Poe
Edinburgh	Caeredin
Edirne	Edirne
Edmonton	Edmonton, Alberta
Edmund Burke	Edmund Burke
Edmund Hillary	Edmund Hillary
Edo	Edo
Education	Addysg
Education	Categori:Addysg
Edvard Grieg	Edvard Grieg
Edward Jenner	Edward Jenner
Edwin Hubble	Edwin Powell Hubble
Egg (biology)	Ŵy
Eggplant	Planhigyn ŵy
Egypt	Yr Aifft
Egypt	Categori:Yr Aifft
Egyptology	Eifftoleg
Ejaculation	Alldafliad
El Greco	El Greco
El Salvador	El Salvador
El Salvador	Categori:El Salvador
Election	Etholiad
Electrical engineering	Categori:Peirianneg drydanol
Electricity	Trydan
Electricity	Categori:Trydan
Electromagnetism	Categori:Electromagneteg
Electron	Electron
Element	Elfen
Elephant	Eliffant
Elizabeth Taylor	Elizabeth Taylor
Ella Fitzgerald	Ella Fitzgerald
Elvis Presley	Elvis Presley
Emma Goldman	Emma Goldman
Emotion	Categori:Emosiwn
Empire State Building	Empire State Building
Encyclopedia	Gwyddoniadur
Engineering	Peirianneg
England	Lloegr
England	Categori:Lloegr
English Channel	Môr Udd
English Civil War	Rhyfel Cartref Lloegr
English language	Saesneg
English people	Categori:Saeson
English people	Saeson
Enrico Caruso	Enrico Caruso
Entertainment	Categori:Adloniant
Environment	Categori:Amgylchedd
Enzyme	Ensym
Ephesus	Effesus
Epirus (periphery)	Epiros
Epistemology	Epistemoleg
Epistle to the Galatians	Llythyr Paul at y Galatiaid
Epsilon	Epsilon
Equation	Hafaliad
Equator	Cyhydedd
Equatorial Guinea	Guinea Gyhydeddol
Equinox	Cyhydnos
Eratosthenes	Eratosthenes
Ericaceae	Ericaceae
Eris (dwarf planet)	Eris (planed gorrach)
Eritrea	Categori:Eritrea
Ernest Rutherford	Ernest Rutherford
Erosion	Erydiad
Erotica	Erotica
Esperanto	Esperanto
Essex	Essex
Estonia	Categori:Estonia
Eta (letter)	Eta (llythyren)
Ethics	Categori:Moeseg
Ethiopia	Ethiopia
Ethnic group	Grŵp ethnig
Etymology	Geirdarddiad
Euclid	Euclid
Eukaryote	Ewcaryot
Euphrates	Afon Ewffrates
Eurasia	Ewrasia
Eurasian Badger	Mochyn daear
Euripides	Euripides
Euro	Ewro
Europe	Ewrop
Europe	Categori:Ewrop
European Central Bank	Banc Canolog Ewrop
European Community	Cymuned Ewropeaidd
European Magpie	Pioden
European Union	Undeb Ewropeaidd
European Union	Categori:Yr Undeb Ewropeaidd
Euthanasia	Ewthanasia
Eva Braun	Eva Braun
Evolution	Esblygiad
Excalibur	Caledfwlch
Excommunication	Ysgymuno
Exodus	Llyfr Exodus
Eye	Llygad
Eye	Categori:Llygad
F	F
Face	Wyneb
Fagaceae	Categori:Fagaceae
Fairy	Tylwyth Teg
