English	Korean
Capsicum	고추류
Caracas	카라카스
Carambola	카람볼라
Caravaggio	카라바조
Carbohydrate	탄수화물
Carbon	탄소
Carbon cycle	탄소의 순환
Carbon dioxide	이산화 탄소
Carbon monoxide	일산화 탄소
Carboniferous	석탄기
Carboxylic acid	카복실산
Cardiff	카디프
Cardinal (Catholicism)	추기경
Cardinal Richelieu	리슐리외
Cardiology	분류:심장학
Cardiovascular system	분류:순환 기관
Caribbean	서인도 제도
Caribbean	분류:카리브 해
Caribbean Sea	카리브 해
Carina (constellation)	용골자리
Carl Jung	카를 융
Carl Lewis	칼 루이스
Carl Maria von Weber	카를 마리아 폰 베버
Carnival	사육제
Carnivora	식육목
Carnivore	육식성
Carnivorous plant	식충식물
Carolingian dynasty	카롤링거 왕가
Carolus Linnaeus	칼 폰 린네
Carpathian Mountains	카르파티아 산맥
Carrot	당근
Carson City	카슨 시
Cartagena	카르타헤나 (스페인)
Cartesian coordinate system	직교 좌표계
Cartesian product	곱집합
Carthage	카르타고
Cartography	분류:지도학
Caryophyllales	석죽목
Casablanca	카사블랑카
Casino	카지노
Caspian Sea	카스피 해
Cassandra	카산드라
Cassiopeia (constellation)	카시오페이아자리
Caste	카스트제
Castle	성 (건조물)
Castling	캐슬링
Castries	캐스트리스
Cat	고양이
Catalonia	카탈루냐 지방
Catalonia	분류:카탈루냐 지방
Catalysis	촉매
Catfish	메기목
Catharism	카타리파
Cathedral	성당
Catherine Parr	캐서린 파
Catherine of Aragon	아라곤의 캐서린
Catholicism	보편적 교회
Cattle	소
Caucasus	카프카스
Caucasus	분류:카프카스
Caucasus Mountains	카프카스 산맥
Causality	인과관계
Cavalry	기병
Cave	동굴
Cayman Islands	케이맨 제도
Celestial mechanics	분류:천체역학
Celestial sphere	천구
Celibacy	금욕
Cell (biology)	세포
Cell membrane	세포막
Cell nucleus	세포핵
Cello	첼로
Celsius	섭씨
Cenozoic	신생대
Census	인구 조사
Centaur	켄타우로스
Centaurus	센타우루스자리
Center of mass	질량 중심
Centimetre	센티미터
Central Africa	중앙아프리카
Central African Republic	중앙아프리카 공화국
Central African Republic	분류:중앙아프리카 공화국
Central America	중앙아메리카
Central Intelligence Agency	미국 중앙정보국
