Urdu	English
جان ایڈمز	John Adams
جان ڈالٹن	John Dalton
جان کیٹس	John Keats
اردن	Jordan
جاؤل	Joule
یہودیت	Judaism
زمرہ:یہودیت	Judaism
جیوجٹسو	Jujutsu
جولس ورن	Jules Verne
جولائی	July
جون	June
جونیاؤ، الاسکا	Juneau
جونو	Juno (mythology)
مشتری	Jupiter
جسٹینین اول	Justinian I
کے ٹو	K2
خانہ کعبہ	Kaaba
کابل	Kabul
قندھار	Kandahar
کنساس	Kansas
کراچی	Karachi
سلسلہ کوہ قراقرم	Karakoram
کارل مارکس	Karl Marx
کرناٹک	Karnataka
کیتھرین ہیپبرن	Katharine Hepburn
کھٹمنڈو	Kathmandu
قازقستان	Kazakhstan
کینٹکی	Kentucky
کینیا	Kenya
خرطوم	Khartoum
كُلیَہ	Kidney
کیف	Kiev
کلوگرام	Kilogram
کلومیٹر	Kilometre
جنبشیات	Kinematics
کیریباتی	Kiribati
کرکوک	Kirkuk
چھری	Knife
کنوسوس	Knossos
Konqueror	Konqueror
کونارڈ ایڈنائر	Konrad Adenauer
کوسووہ	Kosovo
زمرہ:کوسووہ	Kosovo
کرشن	Krishna
کردستان	Kurdistan
کویت	Kuwait
کرغیزستان	Kyrgyzstan
لاہور	Lahore
جھیل بیکال	Lake Baikal
جھیل کونسٹانس	Lake Constance
لاؤس	Laos
قانون	Law
قانوندان	Lawyer
لازیو	Lazio
رصاص	Lead
پتا	Leaf
جمعیت الاقوام	League of Nations
پیسا ٹاور	Leaning Tower of Pisa
لبنان	Lebanon
ٹراٹسکی	Leon Trotsky
لیو نارڈو ڈی ونچی	Leonardo da Vinci
Leonhard Euler	Leonhard Euler
جذام	Leprosy
نحیفہ	Lepton
لیسوتھو	Lesotho
لیونت	Levant
لہوٹسے	Lhotse
آزاد خیالی	Liberalism
لائبیریا	Liberia
لیبیا	Libya
لیختینستائن	Liechtenstein
نقیب	Lieutenant
حیات	Life
روشنی	Light
نوری سال	Light-year
لیگوریا	Liguria
بحیرہ لیگوریئن	Ligurian Sea
خطوط مستقیم	Line (mathematics)
لکیری الجبرا	Linear algebra
زمرہ:لکیری الجبرا	Linear algebra
لسانيات	Linguistics
لینکس	Linux
مائع	Liquid
بلوری سیال تظاہرہ	Liquid crystal display
ادب	Literature
زمرہ:ادب	Literature
لومباردیہ	Lombardy
لندن	London
لوئی پاسچر	Louis Pasteur
لوزیانا	Louisiana
لوچانو پاواروتی	Luciano Pavarotti
لڈوگ بیتھوون	Ludwig van Beethoven
لکسمبرگ	Luxembourg
نظام سیالہ	Lymphatic system
میمی	MIME
ماک	Mach number
آلہ	Machine
آلاتی زبان	Machine code
مشین گن	Machine gun
کلیاتی معاشیات	Macroeconomics
مڈغاسکر	Madagascar
مادیعیرا	Madeira
میڈرڈ	Madrid
جادو	Magic (paranormal)
میگنا کارٹا	Magna Carta
مقناطیسیت	Magnetism
مہاراشٹر	Maharashtra
گاندھی	Mahatma Gandhi
مینے	Maine
اکبر (عہدہ)	Major
مکلو	Makalu
ملائشیا	Malaysia
میلکم ایکس	Malcolm X
مالدیپ	Maldives
مالی	Mali
مالٹا	Malta
آم	Mango
مانیٹوبا	Manitoba
میراتھن	Marathon
مارچ	March
مارکو پولو	Marco Polo
بروٹس	Marcus Junius Brutus
مارگریٹ تھیچر	Margaret Thatcher
زبان تدوین	Markup language
جزائر مارشل	Marshall Islands
مریم علیہا السلام	Mary (mother of Jesus)
میری لینڈ	Maryland
میساچوسٹس	Massachusetts
ماتا ہری	Mata Hari
باب:ریاضیات	Mathematics
میٹرکس	Matrix (mathematics)
میٹرہارن	Matterhorn
موریتانیہ	Mauritania
میکس پلانک	Max Planck
مئی	May
1 مئی	May 1
24 مئی	May 24
مکہ	Mecca
طب	Medicine
مدینہ منورہ	Medina
بحیرہ روم	Mediterranean Sea
انتصاف	Meiosis
دریائے میکانگ	Mekong
نقطہ انجماد	Melting point
پارہ	Mercury (element)
عطارد	Mercury (planet)
پیامبر آر این اے	Messenger RNA
مابعدالطبیعیات	Metaphysics
مدما	Methylenedioxymethamphetamine
میٹر (پیمائش)	Metre
بحر فضا	Metric space
میکسیکو	Mexico
مائکل اینجلو	Michelangelo
مشی گن	Michigan
جزیاتی معاشیات	Microeconomics
مائیکرونیشیا	Micronesia
یک خلوی جاندار	Microorganism
مشرقی وسطٰی	Middle East
میلان	Milan
منیسوٹا	Minnesota
دریائے مسیسپی	Mississippi River
مسوری	Missouri
محمول	Mobile phone
تحویر	Modulation
مالڈووا	Moldova
سالماتی حیاتیات	Molecular biology
زمرہ:سالماتی حیاتیات	Molecular biology
سالمہ	Molecule
مولیزے	Molise
مناکو	Monaco
پیر	Monday
منگولیا	Mongolia
نیولا	Mongoose
یک دالہ	Monocotyledon
مونٹ بلانک	Mont Blanc
مونٹانا	Montana
مونٹینیگرو	Montenegro
چاند	Moon
مراکش	Morocco
زمرہ:مراکش	Morocco
ماسکو	Moscow
مسجد	Mosque
موصل(شہر)	Mosul
مدر ٹریسا	Mother Teresa
آلیچرخہ	Motorcycle
ارارات	Mount Ararat
کوہ ایٹنا	Mount Etna
ماؤنٹ ایورسٹ	Mount Everest
فیوجی	Mount Fuji
کلیمنجارو	Mount Kilimanjaro
فارہ	Mouse (computing)
محمد صلی اللہ علیہ و آلہ و سلم	Muhammad
محمد علی (مکے باز)	Muhammad Ali
خچر	Mule
کثیرالوسیط	Multimedia
ممبئی	Mumbai
مسقط	Muscat
طَفرَہ	Mutation
احتشاء عضل قلب	Myocardial infarction
نیٹو	NATO
صحرائے نمیب	Namib Desert
نمیبیا	Namibia
نانگا پربت	Nanga Parbat
قزمہ طرزیات	Nanotechnology
قدرتی عدد	Natural number
علوم فطریہ	Natural science
فطرت	Nature
زمرہ:فطرت	Nature
ناورو	Nauru
نیبراسکا	Nebraska
سحابیہ	Nebula
نیل آرمسٹرانگ	Neil Armstrong
نیون	Neon
نیپال	Nepal
نیپچون	Neptune
عصبی نظام	Nervous system
نیدرلینڈز	Netherlands
اعصابیات	Neurology
عصبون	Neuron
نیواڈا	Nevada
نوائل چیمبرلین	Neville Chamberlain
نیو ہیمپشائر	New Hampshire
نیو جرسی	New Jersey
نیو میکسیکو	New Mexico
نیویارک شہر	New York City
نیوزی لینڈ	New Zealand
نیو فاؤنڈ لینڈ اور لیبرے ڈار	Newfoundland and Labrador
نکاراگوا	Nicaragua
بورنیلز	Niels Bohr
نائجر	Niger
دریائے نائجر	Niger River
نائجیریا	Nigeria
نکیتا خروشیف	Nikita Khrushchev
دریائے نیل	Nile
نوبل انعام	Nobel Prize
زمرہ:نوبل انعام	Nobel Prize
غیر تعامل گیس	Noble gas
معمول توزیع	Normal distribution
شمالی افریقہ	North Africa
شمالی امریکہ	North America
شمالی کیرولینا	North Carolina
شمالی ڈکوٹا	North Dakota
شمالی کوریا	North Korea
قطب شمالی	North Pole
بحیرہ شمال	North Sea
شمالی یورپ	Northern Europe
ناروے	Norway
نومبر	November
2 نومبر	November 2
نوویال	Novial
آبگرقنبلہ	Nuclear weapon
مرکزیہ	Nucleon
مرثالثہ	Nucleotide
نناوت	Nunavut
جائفل	Nutmeg
اوپیک	OPEC
سمندر	Ocean
علم المحیطات	Oceanography
اکتوبر	October
انقلاب روس	October Revolution
اڈیپس	Oedipus
اوہائیو	Ohio
اوکلاہوما	Oklahoma
اوکلاہوما شہر، اوکلاہوما	Oklahoma City
اولمپیا، واشنگٹن	Olympia
سلطنت عمان	Oman
انٹاریو	Ontario
اوپرا	Opera
عملیاتی نظام	Operating system
اوریگون	Oregon
عُضو	Organ (anatomy)
طائریات	Ornithology
اسامہ	Osama bin Laden
بسمارک	Otto von Bismarck
سلطنت عثمانیہ	Ottoman Empire
اونس	Ounce
آکسیجن	Oxygen
پکاسو	Pablo Picasso
بحر الکاہل	Pacific Ocean
پاکستان	Pakistan
زمرہ:پاکستان	Pakistan
حفریات	Paleontology
فلسطین	Palestinian National Authority
تدمر	Palmyra
سلسلہ کوہ پامیر	Pamir Mountains
پاپوا نیو گنی	Papua New Guinea
پیراگوئے	Paraguay
پیرس	Paris
جفت عدد	Parity (mathematics)
پیروڈی	Parody
پارتھینون	Parthenon
پارتھیا	Parthia
ذراتی طبیعیات	Particle physics
پاروتی	Parvati
امراضیات	Pathology
پرل ہاربر	Pearl Harbor
پنسلوانیا	Pennsylvania
Peptide	Peptide
