English	Esperanto
Bobby Fischer	Bobby Fischer
Bobsleigh	Bobado
Bodhisattva	Bodhisatvo
Body mass index	Korpomasa indico
Bodybuilding	Korpokulturado
Bohemia	Bohemio
Bohrium	Borio
Boiling point	Bolpunkto
Boise	Boise (Idaho)
Bolivia	Bolivio
Bolivia	Kategorio:Bolivio
Bologna	Bolonjo
Bolshevik	Bolŝeviko
Bolzano	Bolzano-Bozen
Bomb	Bombo
Bombyx mori	Silkraŭpo
Bond (finance)	Obligacio
Bone	Osto
Bone marrow	Ostmedolo
Bonn	Bonn
Bonsai	Bonsajo
Book	Libro
Book of Esther	Ester (libro)
Book of Joshua	Josuo (libro)
Book of Judges	Juĝistoj (libro)
Book of Mormon	Libro de Mormon
Book of Numbers	Nombroj
Book of Revelation	Apokalipso de Johano
Book of Ruth	Rut (libro)
Boolean algebra (structure)	Bulea algebro
Boomerang	Bumerango
Bordeaux	Bordeaux
Boris Pasternak	Boris Pasternak
Borneo	Borneo
Boron	Boro
Bosnia and Herzegovina	Bosnio kaj Hercegovino
Bosnia and Herzegovina	Kategorio:Bosnio kaj Hercegovino
Boson	Bosono
Bosporus	Bosporo
Boston	Bostono
Boston Tea Party	Bostona tea rendevuo
Botanical garden	Botanika ĝardeno
Botany	Botaniko
Botany	Kategorio:Botaniko
Botswana	Bocvano
Botswana	Kategorio:Bocvano
Bottle	Botelo
Bourgeoisie	Burĝo
Bourgogne	Burgonjo
Bouvet Island	Buvetinsulo
Bovid	Bovedoj
Bow (weapon)	Arko (armilo)
Boxer (dog)	Boksero (hundo)
Boxers	Kategorio:Boksistoj
Boxing	Boksado
Boyle's law	Leĝo de Boyle
Bracket	Krampo (interpunkcio)
Braga	Braga
Brahma	Brahmao
Braille	Brajlo
Brain	Cerbo
Bram Stoker	Bram Stoker
Brandenburg	Brandenburgio
Brass	Latuno
Brassicaceae	Kruciferacoj
Brassiere	Mamzono
Bratislava	Bratislavo
Braunschweig	Braunschweig
Brazil	Brazilo
Brazil	Kategorio:Brazilo
Brazzaville	Brazavilo
Bread	Pano
Breast	Mamo
Bremen (state)	Bremeno
Bremerhaven	Bremerhaven
Brescia	Breŝo
Brest	Brest (Francio)
Brest	Bresto (Belorusio)
Brest	Brest
Bretagne	Bretonio (franca regiono)
