أَقْسَط (ʾaqsaṭ)‎, Noun
أَقْصَا (ʾaqṣā)‎, Noun
أَقْطَار (ʾaqṭār)‎, Noun
أَقَلّ (ʾaqall)‎, Noun
أَكْثَر (ʾakṯar)‎, Adjective
إِكْرَام (ʾikrām)‎, Noun
إِكْرَاه (ʾikrāh)‎, Noun
أَكْمَام (ʾakmām)‎, Noun
أَكْمَه (ʾakmah)‎, Noun
إِلّ (ʾill)‎, Noun
إِلَٰف (ʾilāf)‎, Noun
ٱلْيَسَعَ (l-yasaʿa)‎, Proper noun
أَمَٰنَت (ʾamānat)‎, Noun
أَمَل (ʾamal)‎, Noun
إِمْلَٰق (ʾimlāq)‎, Noun
أَمَنَة (ʾamana)‎, Noun
أُمِّىّ‎, Adjective
أَمَة (ʾama)‎, Noun
أَنف‎, Noun
أَنفَال‎, Noun
أَوَّٰه (ʾawwāh)‎, Noun
أَوْدِيَة (ʾawdiya)‎, Noun
أَوْسَط (ʾawsaṭ)‎, Noun
أَوَّل (ʾawwal)‎, Time adverb
أُولَآء (ʾūlaʾāʾ)‎, Relative pronoun
أُولَآء (ʾūlaʾāʾ)‎, Demonstrative pronoun
أَوْلَىٰ (ʾawlā)‎, Adjective
أَيَّتُهَا (ʾayyatuhā)‎, Noun
أَيْيد‎, Noun
بَٰخِع (bāḵiʿ)‎, Noun
بَارِد (bārid)‎, Noun
بَارِئ (bāriʾ)‎, Noun
بَٰقِيَٰت (bāqiyāt)‎, Noun
بَاقِين (bāqīn)‎, Noun
بَاقِيَة (bāqiya)‎, Noun
بَٰلِغَة (bāliḡa)‎, Adjective
بُخْل (buḵl)‎, Noun
بَدِيع (badīʿ)‎, Noun
بَرَآءَة (baraʾāʾa)‎, Noun
بَرْد (bard)‎, Noun
بَرِيَّة (bariyya)‎, Noun
بَشِير (bašīr)‎, Adjective
بَصطَة‎, Noun
بِضْع (biḍʿ)‎, Noun
بِطَانَة (biṭāna)‎, Noun
بَطْشَة (baṭša)‎, Noun
بَعِير (baʿīr)‎, Noun
بَغِيّ (baḡiyy)‎, Noun
بَقَرَٰت (baqarāt)‎, Noun
بِكْر (bikr)‎, Adjective
بِنَآء (binaʾāʾ)‎, Noun
بَنَان (banān)‎, Noun
بَهِيج (bahīj)‎, Adjective
بُور (būr)‎, Adjective
بَيَٰت (bayāt)‎, Noun
تَّابُوت (ttābūt)‎, Noun
تَأْثِيم (taʾṯīm)‎, Noun
تَارَة (tāra)‎, Noun
تُبَّع (tubbaʿ)‎, Proper noun
تَبَع (tabaʿ)‎, Noun
تَتْبِير (tatbīr)‎, Noun
تَثْبِيت (taṯbīt)‎, Noun
تَدْمِير (tadmīr)‎, Noun
تَرَاض (tarāḍ)‎, Noun
تَرْتِيل (tartīl)‎, Noun
تَسْبِيح (tasbīḥ)‎, Noun
تِسْعَة (tisʿa)‎, Noun
تَصْدِيق (taṣdīq)‎, Noun
تَصْرِيف (taṣrīf)‎, Noun
تَفْجِير (tafjīr)‎, Noun
تَفْضِيل (tafḍīl)‎, Noun
